CONTENT,CLASS
Sarvam Venky sarvadu ki wishes chepu ma andhari tharupuna,0
To be frank Naresh Sr. Garu kuda Amrutham la Bagane unnaru. Probably aa characterization lo unna goppathanam kabolu.,0
Nadi kuda ivala b'day ,0
"Kakapothe Gundu garu, naresh gari combination anthaga set avaledu anipinchindhi",0
naresh garu set avvaledu...and may b script lo ayana demands push chesinatu unndi,0
Ashwin white ball cricket lo proper ga interest chupinchunte all formats greats lo undevadu  ,0
Vikas PN ashwin yoyo test ki qualify avaka chala matches miss ayadu fitness tkva ashwin Ekva speed run cheyaledu andke dhuram pettaru ashwin ni odi lo,0
Eppudu ayina out avvalsinde kaani . konchem aggressive gaa aadite runs vastay ani ala aadataru ante,0
Andharu super ani antunaru kada but me mummy and dady photos sketch vesi chupinchandi on that day i will respect for u,0
Super starting lo pedda ga ldu but with pencil amazing,0
"Wonderful,great artist ,well done,super,so many compliments from my side,kantiki,manasuki anandanni echindi,meeru chala goppa artist ",0
Babai nuv next level,0
Excellent ane padam kuda chala chinnadi super super tallent,0
Maata ravatledu ee vinthaki,0
Anna meeku sarswathi mee chetullo undi lucky fellow,0
Neeku padabi vandanam anna,0
Ante ippudu Gokul Soap use chesthey State rank Vasthadhi Antaavv,0
Veetike Ila aithe ela ....inka chala vunnai...,0
meeru chalamandhiki inspiration avvali,0
Super anna,0
Anna meeru chala great,0
Manasara ayanaku Naa abhinandanalu,0
Madam miku sata koti vandanalu,0
chala chakkagaa cheppaaru,0
chakkaga undhi,0
chakkaga matladaaru,0
chala bagundhi,0
baga chesaru,0
Chala happy ga undhe sir,0
manasunna manishi,0
idi adbhutamga undhi,0
chala adbhutamga undhi,0
adbhutamaina maata,0
adbhutamaina performance,0
Food chala baguntundi,0
meeku krutagnatalu,0
danyavadalu,0
dhanyavadhalu me andarki,0
dhanyavadhalu!,0
Nijam andi meeru correct ga chepparu,0
Correctga chapparu madam,0
Meeru chala Baga answers cheptharu thanks,0
correct madam chakkaga chepparu,0
excellent ga chepparu,0
same feeling mam nadi,0
Watchman em chesthunaru Adi apartment laga vundi,0
ma nammakam nuvve,0
nammakam ante adi,0
neku post pette arhatha ledhu,0
Avunu ra MAA nammakam aayana,0
create cheyyalante maa tarvatha evaraina,0
Nenu choosina vaatilo the best,0
"Miru Vesey Art Edo,Gandi Garidi Leyda Nehuru Garidi,Leyda Swathantryam kosam poradina Vaaridi Vesi Undaalsindi,Viluva Undeydi,ippudu Purthiga Arda Rahithamga undi Mi Art",1
Mod* taruvata ye1mito ardham kale,1
Mysore pu* tinu bro,1
nuvvedo peddodivi 1ankuna kadara pilla na mod*,1
Ara yavadura creative director what ma yarri puka pagilipodi,1
Suma noti doola tagginchuko amma,1
Ayyanni vaddu headhusband ni thengu,1
Thalapathy ni denganiki e plan,1
maku vijay m*dda kavali,1
mimmalni nenem chesanu ra nannu denguthunaru,1
"Yerri hukku laku, adento thelidule... Poramboku nayallara",1
orey poramboku,1
ne abba neeku siggu ledhu,1
paripo ninnu thengutaru,1
puku!,1
aasha ki haddu vundali g*dda ki siggu vundali,1
Noti doola Edo oka time lo elage untadi akka,1
Notiki doola antaru choodu ide,1
Anduke noti doola. Taggicchukovali,1
Noti dula ekuva.. Meeku.. Anduke serious iyaru..,1
Akka niku noti dula chala ekkuva,1
Mundhu mimmalni dengali ra vallani famous chestunnamdhuku,1
Rendu Kgla Uppu Valla Mohani Dengu Bro,1
Good teskelli uppu factory lo dengu,1
Mee elevations pukulo modda chichi,1
E pilla modda gadu okadu,1
pakka ki dengu ra kojaavada,1
rey intha erri pukku gadivi entra nuv!,1
Insta lo em lanjalu lanjakodukulu unnaru bro,1
Yendaro maha'Naatu'lu,1
Andariki na mo**alo vandanalu,1
erri puku ni chesindhi kada mowa same adilane petta face,1
Aakariki troll thengataniki thappa deniki panikirakunda chestharu entra,1
mi vallaku biryani echi thengutavu,1
M*dda gudu,1
avanni donga puku eshalu ra,1
na m*dda gudavandi ra coments petinavalandaru vachi,1
Osey mundallara,1
"Ame mundallara mi mogullaku miru okate bharya kada ,danikem pichi navvu.",1
Osey poramboku dhana first me family ni chudu malli matladudhuvu le,1
Siggu undali e mundalaki miru chesukondi moodu pellilu mari thuuu,1
Poramboku mundalaki siggu ledhu,1
Ee lanja matalu cheppe pavala gadni galiki odhilesaru,1
enti Babu annavu inkokkasari anuu naa madda lo,1
enti bro elaga petevu comment vadu reply echina vbharath madda lo,1
Pedda bokka train,1
vadu oka bokka lo yedava,1
